ndc,year,name
004095758,2016,BUPIVACAINE HYDROCHLORIDE
004095779,2010,TPN ELECTROLYTES INJECTION
004095779,2011,"SODIUM CHLORIDE, CALCIUM CHLORIDE DIHYDRATE, POTASSIUM CHLORIDE, MAGNESIUM CHLORIDE HEXAHYDRATE, AND SODIUM ACETATE, ANHYDROUS"
004095779,2018,"SODIUM CHLORIDE, CALCIUM CHLORIDE, POTASSIUM CHLORIDE, MAGNESIUM CHLORIDE, AND SODIUM ACETATE ANHYDROUS"
004095820,2010,DOPAMINE HYDROCHLORIDE INJECTION 200 MG
004095820,2018,DOPAMINE HYDROCHLORIDE
004095921,2010,AMINOPHYLLINE INJECTION
004095921,2015,AMINOPHYLLINE DIHYDRATE
004095921,2018,AMINOPHYLLINE
004095922,2010,AMINOPHYLLINE INJECTION
004095922,2015,AMINOPHYLLINE DIHYDRATE
004095922,2018,AMINOPHYLLINE
004096028,2010,MORPHINE SULFATE INJECTION
004096028,2018,MORPHINE SULFATE
004096030,2010,MEPERIDINE HYDROCHLORIDE INJECTION
004096030,2018,MEPERIDINE HYDROCHLORIDE
004096043,2010,AMMONIUM CHLORIDE INJECTION
004096043,2017,AMMONIUM CHLORIDE
004096062,2005,MORPHINE SULFATE IN DEXTROSE INJECTION
004096062,2010,MORPHINE SULFATE IN 5% DEXTROSE INJECTION
004096102,2010,FUROSEMIDE INJECTION
004096102,2018,FUROSEMIDE
004096138,2010,SODIUM CHLORIDE IRRIGATION
004096138,2018,SODIUM CHLORIDE
004096139,2010,STERILE WATER FOR IRRIGATION
004096139,2018,WATER
004096140,2010,RINGERS'S IRRIGATION USP
004096140,2018,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE"
004096141,2010,PHYSIOSOL IRRIGATION SOLUTION
004096141,2018,"SODIUM CHLORIDE, SODIUM ACETATE ANHYDROUS, SODIUM GLUCONATE, POTASSIUM CHLORIDE, AND MAGNESIUM CHLORIDE"
004096143,2010,0.25% ACETIC ACID IRRIGATION
004096143,2018,ACETIC ACID
004096177,2010,MORPHINE SULFATE INJECTION
004096177,2016,MORPHINE SULFATE
004096179,2010,MORPHINE SULFATE INJECTION
004096179,2016,MORPHINE SULFATE
004096435,2005,PENTOTHAL AND STERILE WATER FOR INJECTION
004096435,2010,PENTOTHAL 1 G AND STERILE WATER FOR INJECTION KIT
004096476,2010,ERYTHROCIN LACTOBIONATE IV INJECTION
004096476,2018,ERYTHROMYCIN LACTOBIONATE
004096478,2010,ERYTHROCIN LACTOBIONATE IV POWDER FOR INJECTION
004096478,2012,ERYTHROMYCIN LACTOBIONATE
004096482,2010,ERYTHROCIN LACTOBIONATE IV POWDER FOR INJECTION
004096482,2018,ERYTHROMYCIN LACTOBIONATE
004096509,2010,STERILE VANCOMYCIN HYDROCHLORIDE POWDER
004096509,2018,VANCOMYCIN HYDROCHLORIDE
004096510,2010,STERILE VANCOMYCIN HYDROCHLORIDE
004096510,2018,VANCOMYCIN HYDROCHLORIDE
004096531,2010,STERILE VANCOMYCIN HCL USP
004096531,2018,VANCOMYCIN HYDROCHLORIDE
004096533,2010,STERILE VANCOMYCIN HYDROCHLORIDE INJECTION
004096533,2018,VANCOMYCIN HYDROCHLORIDE
004096534,2010,STERILE VANCOMYCIN HYDROCHLORIDE INJECTION
004096534,2018,VANCOMYCIN HYDROCHLORIDE
004096535,2010,STERILE VANCOMYCIN HYDROCHLORIDE POWDER FOR INJECTION
004096535,2018,VANCOMYCIN HYDROCHLORIDE
004096609,2010,NEUT ADDITIVE SOLUTION
004096609,2018,SODIUM BICARBONATE
004096625,2005,SODIUM BICARBINATE INJECTION USP
004096625,2010,SODIUM BICARBINATE INJECTION USP 4.2 GM
004096625,2018,SODIUM BICARBONATE
004096629,2010,SUCCINYLCHOLINE CHLORIDE INJECTION
004096629,2018,SUCCINYLCHOLINE CHLORIDE
004096635,2010,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE
004096635,2018,POTASSIUM CHLORIDE
004096636,2010,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE
004096636,2016,POTASSIUM CHLORIDE
004096637,2005,SODIUM BICARBONATE INJECTION
004096637,2010,SODIUM BICARBONATE INJECTION 50 MEQ
004096637,2018,SODIUM BICARBONATE
004096648,2010,DEXTROSE INJECTION
004096648,2018,DEXTROSE MONOHYDRATE
004096651,2010,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE
004096651,2018,POTASSIUM CHLORIDE
004096653,2010,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE
004096653,2018,POTASSIUM CHLORIDE
004096657,2010,SODIUM CHLORIDE INJECTION
004096657,2018,SODIUM CHLORIDE
004096660,2010,SODIUM CHLORIDE INJECTION
004096660,2018,SODIUM CHLORIDE
004096664,2010,SODIUM LACTATE INJECTION
004096664,2018,SODIUM LACTATE
004096695,2010,AMIDATE INJECTION
004096695,2018,ETOMIDATE
004096727,2010,MAGENSIUM SULFATE IN 5% DEXTROSE INJECTION
004096727,2012,MAGNESIUM SULFATE
004096727,2017,MAGNESIUM SULFATE HEPTAHYDRATE
004096727,2018,MAGNESIUM SULFATE IN DEXTROSE
004096728,2010,MAGNESIUM SULFATE IN 5% DEXTROSE INJECTION
004096728,2012,MAGNESIUM SULFATE
004096728,2017,MAGNESIUM SULFATE HEPTAHYDRATE
004096729,2010,MAGNESIUM SULFATE IN WATER FOR INJECTION
004096729,2012,MAGNESIUM SULFATE
004096729,2018,MAGNESIUM SULFATE HEPTAHYDRATE
004096730,2010,MAGNESIUM SULFATE IN WATER FOR INJECTION
004096730,2012,MAGNESIUM SULFATE
004096730,2018,MAGNESIUM SULFATE HEPTAHYDRATE
004096778,2010,LORAZEPAM INJECTION
004096778,2018,LORAZEPAM
004096779,2010,LORAZEPAM INJECTION
004096779,2018,LORAZEPAM
004096780,2010,LORAZEPAM INJECTION
004096780,2018,LORAZEPAM
004096781,2010,LORAZEPAM INJECTION
004096781,2018,LORAZEPAM
004096970,2010,QUELICIN INJECTION
004096970,2014,SUCCINYLCHOLINE CHLORIDE
004097074,2010,POTASSIUM CHLORIDE INJECTION
004097074,2018,POTASSIUM CHLORIDE
004097075,2010,POTASSIUM CHLORIDE INJECTION
004097075,2018,POTASSIUM CHLORIDE
004097076,2010,POTASSIUM CHLORIDE INJECTION
004097076,2018,POTASSIUM CHLORIDE
004097077,2010,POTASSIUM CHLORIDE INJECTION
004097077,2018,POTASSIUM CHLORIDE
004097100,2005,DEXTROSE INJECTION
004097100,2010,5% DEXTROSE INJECTION
004097100,2018,DEXTROSE MONOHYDRATE
004097101,2010,SODIUM CHLORIDE INJECTION
004097101,2018,SODIUM CHLORIDE
004097107,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097107,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097109,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097109,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097111,2010,POTASSIUM CHLORIDE IN LACTATED RINGERS AND 5% DEXTROSE INJECTION
004097111,2018,"POTASSIUM CHLORIDE, SODIUM CHLORIDE, CALCIUM CHLORIDE, SODIUM LACTATE, AND DEXTROSE MONOHYDRATE"
004097113,2010,POTASSIUM CHLORIDE IN LACTATED RINGERS AND 5% DEXTROSE
004097113,2018,"POTASSIUM CHLORIDE, SODIUM CHLORIDE, CALCIUM CHLORIDE, SODIUM LACTATE, AND DEXTROSE MONOHYDRATE"
004097115,2010,POTASSIUM CHLORIDE IN 0.9% SODIUM CHLORIDE INJECTION
004097115,2018,SODIUM CHLORIDE AND POTASSIUM CHLORIDE
004097116,2010,POTASSIUM CHLORIDE IN 0.9% SODIUM CHLORIDE INJECTION
004097116,2018,SODIUM CHLORIDE AND POTASSIUM CHLORIDE
004097118,2010,STERILE WATER FOR INJECTION
004097118,2018,WATER
004097119,2010,DEXTROSE INJECTION
004097119,2014,DEXTROSE MONOHYDRATE
004097120,2010,DEXTROSE INJECTION
004097120,2018,DEXTROSE MONOHYDRATE
004097121,2010,AMINOSYN II INJECTION
004097121,2012,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, TYROSINE, AND GLYCINE"
004097121,2014,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYL-TYROSINE, AND GLYCINE"
004097121,2018,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYLTYROSINE, AND GLYCINE"
004097122,2010,AMINOSYN II INJECTION
004097122,2012,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, TYROSINE, AND GLYCINE"
004097122,2014,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYL-TYROSINE, AND GLYCINE"
004097132,2010,SODIUM CHLORIDE INJECTION
004097132,2018,SODIUM CHLORIDE
004097138,2010,SODIUM CHLORIDE IRRIGATION
004097138,2018,SODIUM CHLORIDE
004097139,2010,STERILE WATER FOR IRRIGATION
004097139,2018,WATER
004097171,2010,AMINOSYN II AMINO ACID FOR INJECTION
004097171,2011,"ISOLEUCINE,LEUCINE,LYSINE ACETATE,METHIONINE,PHENYLALANINE,THREONINE,TRYPTOPHAN,VALINE,ALANINE,ARGININE,ASPARTIC ACID,GLUTAMIC ACID,HISTIDINE,PROLINE,SERINE,N-ACETYL-TYROSINE,GLYCINE"
004097171,2013,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYL-TYROSINE, AND GLYCI"
004097171,2014,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYL-TYROSINE, AND GLYCINE"
004097171,2018,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYLTYROSINE, AND GLYCINE"
004097172,2013,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYL-TYROSINE, AND GLYCI"
004097172,2014,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYL-TYROSINE, AND GLYCINE"
004097172,2018,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYLTYROSINE, AND GLYCINE"
004097241,2010,EPINEPHRINE INJECTION 1:1000
004097241,2018,EPINEPHRINE
004097248,2010,HETASTARCH IN .9% SODIUM CHLORIDE INJECTION
004097248,2018,HETASTARCH
004097263,2010,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE 1:50000 INJECTION
004097263,2010,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE INJECTION
004097263,2016,"LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE"
004097295,2010,POTASSIUM PHOSPHATE INJECTION USP
004097295,2018,"POTASSIUM PHOSPHATE, MONOBASIC AND POTASSIUM PHOSPHATE, DIBASIC"
004097299,2010,SODIUM ACETATE INJECTION
004097299,2018,SODIUM ACETATE
004097332,2010,CEFTRIAXONE FOR INJECTION IN FLIPTOP VIAL
004097332,2018,CEFTRIAXONE SODIUM
004097333,2010,CEFTRIAXONE FOR INJECTION
004097333,2018,CEFTRIAXONE SODIUM
004097334,2010,CEFTRIAXONE FOR INJECTION
004097334,2018,CEFTRIAXONE SODIUM
004097335,2010,CEFTRIAXONE FOR INJECTION
004097335,2018,CEFTRIAXONE SODIUM
004097336,2010,CEFTRIAXONE FOR INJECTION
004097336,2018,CEFTRIAXONE SODIUM
004097337,2010,CEFTRIAXONE FOR INJECTION
004097337,2018,CEFTRIAXONE SODIUM
004097338,2010,CEFTRIAXONE FOR INJECTION IN FLIPTOP VIAL
004097338,2018,CEFTRIAXONE SODIUM
004097371,2010,IONOSOL B AND DEXTROSE INJECTION SOLUTION
004097371,2017,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM LACTATE, MAGNESIUM CHLORIDE, POTASSIUM PHOSPHATE, DIBASIC, AND SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE"
004097372,2010,IONOSOL MB AND DEXTROSE INJECTION
004097372,2018,"DEXTROSE MONOHYDRATE, SODIUM LACTATE, POTASSIUM CHLORIDE, MAGNESIUM CHLORIDE, POTASSIUM PHOSPHATE, MONOBASIC, AND SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE"
004097385,2010,AMINOPHYLLINE INJECTION
004097385,2015,AMINOPHYLLINE DIHYDRATE
004097385,2017,AMINOPHYLLINE
004097386,2010,AMINOPHYLINE INJECTION
004097386,2015,AMINOPHYLLINE DIHYDRATE
004097386,2017,AMINOPHYLLINE
004097391,2010,SODIUM PHOSPHATES INJECTION
004097391,2014,"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE AND SODIUM PHOSPHATE, DIBASIC ANHYDROUS"
004097391,2018,"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE AND SODIUM PHOSPHATE, DIBASIC, ANHYDROUS"
004097418,2004,10% LMD IN 5% DEXTROSE INJECTION
004097418,2010,LMD IN DEXTROSE INJECTION
004097418,2018,DEXTRAN 40
004097419,2010,10% LMD IN 0.9% SODIUM CHLORIDE INJECTION
004097419,2018,DEXTRAN 40
004097444,2010,CIMETIDINE INJECTION
004097444,2013,CIMETIDINE HYDROCHLORIDE
004097445,2010,CIMETIDINE INJECTION
004097445,2013,CIMETIDINE HYDROCHLORIDE
004097517,2005,DEXTROSE INJECTION
004097517,2010,50% DEXTROSE INJECTION
004097517,2018,DEXTROSE MONOHYDRATE
004097551,2010,MEPIVACAINE HYDROCHLORIDE INJECTION
004097551,2016,MEPIVACAINE HYDROCHLORIDE
004097600,2010,BUPIVACAINE HYDROCHLORIDE WITH EPINEPHRINE
004097600,2015,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE
004097600,2017,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE
004097620,2010,HEPARIN SODIUM INJECTION SOLUTION
004097620,2018,HEPARIN SODIUM
004097650,2010,HEPARIN SODIUM INJECTION SOLUTION
004097650,2018,HEPARIN SODIUM
004097651,2010,HEPARIN SODIUM INJECTION SOLUTION
004097651,2018,HEPARIN SODIUM
004097666,2010,THEOPHYLLINE IN 5% DEXTROSE INJECTION
004097666,2015,THEOPHYLLINE
004097666,2017,THEOPHYLLINE IN DEXTROSE
004097668,2010,THEOPHYLLINE IN DEXTROSE INJECTION
004097668,2015,THEOPHYLLINE
004097668,2017,THEOPHYLLINE IN DEXTROSE
004097670,2010,NORMOSOL R PH 7.4 INJECTION MULTIPLE ELECTROLYTES
004097670,2018,"SODIUM CHLORIDE, SODIUM ACETATE ANHYDROUS, SODIUM GLUCONATE, POTASSIUM CHLORIDE, AND MAGNESIUM CHLORIDE"
004097677,2010,THEOPHYLLINE IN 5% DEXTROSE INJECTION USP
004097677,2015,THEOPHYLLINE
004097677,2017,THEOPHYLLINE IN DEXTROSE
004097705,2010,THEOPHYLLINE IN DEXTROSE INJECTION
004097705,2015,THEOPHYLLINE
004097705,2017,THEOPHYLLINE IN DEXTROSE
004097712,2010,5% MANINITOL IV INJECTION
004097712,2016,MANNITOL
004097713,2010,MANNITOL IV INJECTION
004097713,2016,MANNITOL
004097714,2010,MANNITOL IV INJECTION
004097714,2018,MANNITOL
004097715,2010,20% MANNITOL IV INJECTION
004097715,2018,MANNITOL
004097730,2010,SODIUM CHLORIDE INJECTION
004097730,2018,SODIUM CHLORIDE
004097760,2010,HEPARIN SODIUM IN 5% DEXTROSE INJECTION SOLUTION
004097760,2017,HEPARIN SODIUM
004097761,2010,HEPARIN SODIUM IN 5% DEXTROSE INJECTION SOLUTION
004097761,2017,HEPARIN SODIUM
004097793,2010,HEPARIN SODIUM IN 5% DEXTROSE INJECTION SOLUTION
004097793,2017,HEPARIN SODIUM
004097794,2010,HEPARIN SODIUM IN 5 % DEXTROSE SODIUM INJCTION SOLUTION
004097794,2017,HEPARIN SODIUM
004097808,2010,DOPAMINE HCL IN 5% DEXTROSE INJECTION
004097808,2017,DOPAMINE HYDROCHLORIDE
004097809,2010,DOPAMINE HYDROCHLORIDE IN 5% DEXTROSE INJECTION
004097809,2018,DOPAMINE HYDROCHLORIDE
004097810,2010,DOPAMINE HYDROCHLORIDE IN 5% DEXTROSE INJECTION USP
004097810,2018,DOPAMINE HYDROCHLORIDE
004097811,2010,METRONIDAZOLE INJECTION
004097811,2018,METRONIDAZOLE
004097828,2010,LACTATED RINGERS IRRIGATION
004097828,2018,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE"
004097879,2010,GENTAMICIN SULFATE IN .9% SODIUM CHLORIDE INJECTION
004097879,2017,GENTAMICIN SULFATE
004097881,2010,GENTAMICIN SULFATE IN .9% SODIUM CHLORIDE INJECTION
004097881,2017,GENTAMICIN SULFATE
004097883,2010,GENTAMICIN SULFATE IN .9% SODIUM CHLORIDE INJECTION
004097883,2017,GENTAMICIN SULFATE
004097884,2010,GENTAMICIN SULFATE IN .9% SODIUM CHLORIDE INJECTION
004097884,2017,GENTAMICIN SULFATE
004097886,2010,GENTAMICIN SULFATE IN SODIUM CHLORIDE INJECTION
004097886,2017,GENTAMICIN SULFATE
004097889,2010,GENTAMICIN SULFATE IN .9% SODIUM CHLORIDE INJECTION
004097889,2017,GENTAMICIN SULFATE
004097901,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097901,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097902,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097902,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097903,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097903,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097904,2010,POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% NACL INJECTION
004097904,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097905,2010,POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION
004097905,2018,DEXTROSE MONOHYDRATE AND POTASSIUM CHLORIDE
004097906,2010,POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION
004097906,2018,DEXTROSE MONOHYDRATE AND POTASSIUM CHLORIDE
004097918,2010,DEXTROSE INJECTION
004097918,2015,DEXTROSE MONOHYDRATE
004097918,2018,DEXTROSE
004097922,2004,5% DEXTROSE INJECTION
004097922,2010,DEXTROSE INJECTION
004097922,2018,DEXTROSE MONOHYDRATE
004097923,2010,DEXTROSE INJECTION USP
004097923,2018,DEXTROSE MONOHYDRATE
004097924,2010,5% DEXTROSE AND 0.225% NACL INJECTION
004097924,2018,DEXTROSE MONOHYDRATE AND SODIUM CHLORIDE
004097925,2010,5% DEXTROSE AND 0.3% NACL INJECTION
004097925,2018,DEXTROSE MONOHYDRATE AND SODIUM CHLORIDE
004097926,2010,5% DEXTROSE AND 0.45% NACL INJECTION
004097926,2018,DEXTROSE MONOHYDRATE AND SODIUM CHLORIDE
004097929,2010,LACTATED RINGERS AND DEXTROSE INJECTION
004097929,2011,"SODIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE,CALCIUM CHLORIDE,DEXTROSE MONOHYDRATE"
004097929,2018,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, CALCIUM CHLORIDE, AND DEXTROSE MONOHYDRATE"
004097930,2004,10% DEXTROSE INJECTION
004097930,2010,DEXTROSE INJECTION
004097930,2018,DEXTROSE MONOHYDRATE
004097931,2005,LIDOCAINE HYDROCHLORIDE AND 5% DEXTROSE INJECTION
004097931,2010,0.4% LIDOCAINE HYDROCHLORIDE AND 5% DEXTROSE INJECTION
004097931,2013,LIDOCAINE HYDROCHLORIDE ANHYDROUS
004097931,2015,LIDOCAINE HYDROCHLORIDE
004097933,2010,RINGERS AND 5% DEXTROSE INJECTION
004097933,2013,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, CALCIUM CHLORIDE, AND DEXTROSE"
004097933,2014,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, CALCIUM CHLORIDE, AND DEXTROSE MONOHYDRATE"
004097935,2010,DEXTROSE INJECTION
004097935,2015,DEXTROSE MONOHYDRATE
004097935,2018,DEXTROSE
004097936,2010,DEXTROSE INJECTION
004097936,2015,DEXTROSE MONOHYDRATE
004097936,2018,DEXTROSE
004097937,2010,DEXTROSE INJECTION
004097937,2015,DEXTROSE MONOHYDRATE
004097937,2018,DEXTROSE
004097938,2010,10% DEXTROSE INJECTION
004097938,2018,DEXTROSE MONOHYDRATE
004097939,2005,LIDOCAINE HCL IN DEXTROSE INJECTION
004097939,2010,0.8% LIDOCAINE HCL IN 5% DEXTROSE INJECTION
004097939,2013,LIDOCAINE HYDROCHLORIDE ANHYDROUS
004097939,2015,LIDOCAINE HYDROCHLORIDE
004097941,2010,5% DEXTROSE AND 0.9% NACL INJECTION
004097941,2018,DEXTROSE MONOHYDRATE AND SODIUM CHLORIDE
004097953,2010,LACTATED RINGERS INJECTION
004097953,2011,"SODIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE,CALCIUM CHLORIDE"
004097953,2018,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE"
004097965,2010,NORMOSOL M AND 5% DEXTROSE INJECTION
004097965,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, POTASSIUM ACETATE, AND MAGNESIUM ACETATE"
004097967,2010,NORMOSOL R TYPE 1 INJECTION MULTIPLE ELECTROLYTES
004097967,2018,"SODIUM CHLORIDE, SODIUM ACETATE ANHYDROUS, SODIUM GLUCONATE, POTASSIUM CHLORIDE, AND MAGNESIUM CHLORIDE"
004097968,2010,NORMOSOL R AND 5% DEXTROSE INJECTION
004097968,2018,"DEXTROSE, SODIUM CHLORIDE, SODIUM ACETATE ANHYDROUS, SODIUM GLUCONATE, POTASSIUM CHLORIDE, AND MAGNESIUM CHLORIDE"
004097969,2010,PLEGISOL SOLUTION
004097969,2018,"POTASSIUM CHLORIDE, SODIUM CHLORIDE, CALCIUM CHLORIDE, AND MAGNESIUM CHLORIDE"
004097972,2005,SODIUM CHLORIDE IRRIGATION USP
004097972,2010,.9% SODIUM CHLORIDE IRRIGATION
004097972,2010,SODIUM CHLORIDE IRRIGATION
004097972,2018,SODIUM CHLORIDE
004097973,2005,STERILE WATER FOR INJECTION
004097973,2010,STERILE WATER FOR IRRIGATION
004097973,2018,WATER
004097974,2010,GLYCINE IRRIGATION
004097974,2018,GLYCINE
004097975,2010,0.45% SODIUM CHLORIDE IRRIGATION
004097975,2013,SODIUM CHLORIDE
004097981,2010,SORBITOL MANNITOL IRRIGATION
004097981,2018,SORBITOL AND MANNITOL
004097982,2010,RINGERS INJECTION
004097982,2018,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE"
004097983,2010,SODIUM CHLORIDE INJECTION USP
004097983,2018,SODIUM CHLORIDE
004097984,2010,SODIUM CHLORIDE INJECTION USP
004097984,2018,SODIUM CHLORIDE
004097985,2010,SODIUM CHLORIDE INJECTION USP
004097985,2018,SODIUM CHLORIDE
004097990,2010,STERILE WATER FOR INJECTION
004097990,2018,WATER
004097991,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097991,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097992,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097992,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097993,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097993,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004097996,2010,POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION
004097996,2018,DEXTROSE MONOHYDRATE AND POTASSIUM CHLORIDE
004097998,2010,POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE INJECTION
004097998,2018,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE"
004098004,2010,DEXTROSE INJECTION
004098004,2015,DEXTROSE MONOHYDRATE
004098004,2018,DEXTROSE
004098060,2010,AMIDATE ETOMIDATE INJECTION
004098060,2018,ETOMIDATE
004098061,2010,AMIDATE INJECTION
004098061,2016,ETOMIDATE
004098062,2010,AMIDATE INJECTION
004098062,2016,ETOMIDATE
004098183,2010,POTASSIUM ACETATE INJECTION
004098183,2018,POTASSIUM ACETATE
004099042,2010,"0.25% BUPIVACAINE HCL AND EPINEPHRINE 1:200,000 INJECTION"
004099042,2010,BUPIVACAINE HCL AND EPINEPHRINE INJECTION
004099042,2015,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE
004099042,2018,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE
004099043,2010,"0.25% BUPIVACAINE HCL AND EPINEPHRINE 1:200,000 INJECTION"
004099043,2015,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE
004099043,2018,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE
004099045,2010,"0.5% BUPIVACAINE HCL AND EPINEPHRINE 1:200,000 INJECTION"
004099045,2015,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE
